Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	 GeneCards Link	ADHD_gene	autism_gene	parkinsons_gene	stuttering_gene	tic_gene
CCL20	C-C Motif Chemokine Ligand 20	Protein Coding	P78556	54	GC02P227846	0.90202397108078	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL20	True	False	False	False	False
CCL22	C-C Motif Chemokine Ligand 22	Protein Coding	O00626	49	GC16P121627	0.227996170520782	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL22	True	True	False	False	False
CCL23	C-C Motif Chemokine Ligand 23	Protein Coding	P55773	44	GC17M036013	0.480546861886978	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL23	True	True	False	False	False
CCL26	C-C Motif Chemokine Ligand 26	Protein Coding	Q9Y258	50	GC07M075769	1.25384819507599	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL26	True	True	False	False	False
CCL27	C-C Motif Chemokine Ligand 27	Protein Coding	Q9Y4X3	47	GC09M035856	0.90202397108078	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL27	True	False	False	False	False
CCL3	C-C Motif Chemokine Ligand 3	Protein Coding	P10147	54	GC17M036088	3.98583769798279	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3	False	True	True	False	False
CCL3L1	C-C Motif Chemokine Ligand 3 Like 1	Protein Coding	P16619	37	GC17Mj00250	2.05753231048584	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3L1	False	True	False	False	False
CCL3L3	C-C Motif Chemokine Ligand 3 Like 3	Protein Coding	P16619	37	GC17M036194	2.79185962677002	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3L3	False	True	False	False	False
CCL4	C-C Motif Chemokine Ligand 4	Protein Coding	P13236	52	GC17P036103	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL4	True	True	True	False	False
CCL4L2	C-C Motif Chemokine Ligand 4 Like 2	Protein Coding	Q8NHW4	39	GC17P154522	3.31456112861633	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL4L2	True	True	False	False	False
CCL5	C-C Motif Chemokine Ligand 5	Protein Coding	P13501	56	GC17M035871	5.56308937072754	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5	True	True	True	False	True
CCL7	C-C Motif Chemokine Ligand 7	Protein Coding	P80098	55	GC17P034270	1.07545459270477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL7	True	False	True	False	False
CCM2	CCM2 Scaffold Protein	Protein Coding	Q9BSQ5	54	GC07P044999	7.16476202011108	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCM2	True	True	False	False	False
CCN1	Cellular Communication Network Factor 1	Protein Coding	O00622	52	GC01P085585	1.21487414836884	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN1	False	True	False	False	True
CCN2	Cellular Communication Network Factor 2	Protein Coding	P29279	58	GC06M131948	0.73432731628418	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN2	True	True	False	False	True
CCN3	Cellular Communication Network Factor 3	Protein Coding	P48745	51	GC08P119416	0.584532201290131	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN3	True	True	False	False	True
CCN5	Cellular Communication Network Factor 5	Protein Coding	O76076	47	GC20P053994	0.285715848207474	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN5	False	False	False	False	True
CCN6	Cellular Communication Network Factor 6	Protein Coding	O95389	51	GC06P182823	0.368857592344284	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN6	False	False	False	False	True
CCNA1	Cyclin A1	Protein Coding	P78396	55	GC13P036431	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNA1	False	False	True	False	False
CCNA2	Cyclin A2	Protein Coding	P20248	58	GC04M121816	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNA2	False	True	True	False	False
CCNB1	Cyclin B1	Protein Coding	P14635	60	GC05P069167	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNB1	False	False	True	False	False
CCNC	Cyclin C	Protein Coding	P24863	52	GC06M099542	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNC	True	False	False	False	False
CCND1	Cyclin D1	Protein Coding	P24385	65	GC11P069641	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1	True	True	True	False	False
CCND2	Cyclin D2	Protein Coding	P30279	61	GC12P074004	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND2	False	True	True	False	False
CCNE1	Cyclin E1	Protein Coding	P24864	61	GC19P029811	7.51560592651367	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNE1	True	False	True	False	False
CCNE2	Cyclin E2	Protein Coding	O96020	55	GC08M094879	7.38689851760864	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNE2	False	False	True	False	False
CCNF	Cyclin F	Protein Coding	P41002	51	GC16P002429	1.39864635467529	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNF	True	False	False	False	False
CCNH	Cyclin H	Protein Coding	P51946	58	GC05M087311	0.379151344299316	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNH	False	True	False	False	False
CCNJL	Cyclin J Like	Protein Coding	Q8IV13	36	GC05M160251	0.379151344299316	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNJL	False	True	False	False	False
CCNJP1	Cyclin J Pseudogene 1	Pseudogene		7	GC07M080519	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNJP1	True	False	False	False	False
CCNK	Cyclin K	Protein Coding	O75909	54	GC14P099483	1.22710525989532	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNK	False	True	False	False	True
CCNL2	Cyclin L2	Protein Coding	Q96S94	49	GC01M001385	2.05753231048584	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNL2	False	True	False	False	False
CCNO	Cyclin O	Protein Coding	P22674	53	GC05M055231	0.397497028112411	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNO	False	True	False	False	False
CCNQ	Cyclin Q	Protein Coding	Q8N1B3	45	GC0XM153588	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNQ	False	True	True	False	False
CCNT1	Cyclin T1	Protein Coding	O60563	51	GC12M048688	0.830114245414734	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNT1	True	True	False	False	False
CCNT2	Cyclin T2	Protein Coding	O60583	47	GC02P134918	0.0930790454149246	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNT2	True	True	False	False	False
CCP110	Centriolar Coiled-Coil Protein 110	Protein Coding	O43303	51	GC16P120606	0.397497028112411	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCP110	False	True	False	False	False
CCR1	C-C Motif Chemokine Receptor 1	Protein Coding	P32246	57	GC03M046218	7.03312826156616	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR1	True	True	False	False	False
CCR2	C-C Motif Chemokine Receptor 2	Protein Coding	P41597	58	GC03P064849	4.91564035415649	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR2	True	True	True	False	True
CCR3	C-C Motif Chemokine Receptor 3	Protein Coding	P51677	59	GC03P064845	1.27565455436707	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR3	True	False	False	False	False
CCR4	C-C Motif Chemokine Receptor 4	Protein Coding	P51679	57	GC03P032951	0.0930790454149246	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR4	True	True	False	False	False
CCR5	C-C Motif Chemokine Receptor 5	Protein Coding	P51681	60	GC03P064850	4.91564035415649	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5	True	True	True	False	True
CCR6	C-C Motif Chemokine Receptor 6	Protein Coding	P51684	55	GC06P167111	0.573625922203064	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR6	False	True	False	False	False
CCR8	C-C Motif Chemokine Receptor 8	Protein Coding	P51685	55	GC03P042176	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR8	True	False	False	False	False
CCR9	C-C Motif Chemokine Receptor 9	Protein Coding	P51686	51	GC03P064838	0.90202397108078	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR9	True	False	False	False	False
CCRL2	C-C Motif Chemokine Receptor Like 2	Protein Coding	O00421	50	GC03P046407	0.90202397108078	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCRL2	True	False	False	False	False
CCSAP	Centriole, Cilia And Spindle Associated Protein	Protein Coding	Q6IQ19	41	GC01M230666	0.516393601894379	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCSAP	False	True	False	False	False
CCSER1	Coiled-Coil Serine Rich Protein 1	Protein Coding	Q9C0I3	41	GC04P090127	1.13133585453033	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCSER1	True	False	True	False	False
CCT2	Chaperonin Containing TCP1 Subunit 2	Protein Coding	P78371	54	GC12P069585	0.465168923139572	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT2	False	True	True	False	False
CCT3	Chaperonin Containing TCP1 Subunit 3	Protein Coding	P49368	54	GC01M156308	1.3240978717804	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT3	False	True	True	False	False
CCT4	Chaperonin Containing TCP1 Subunit 4	Protein Coding	P50991	52	GC02M061868	1.63445663452148	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT4	False	True	True	False	False
CCT4P1	Chaperonin Containing TCP1 Subunit 4 Pseudogene 1	Pseudogene		9	GC07M140997	0.480546861886978	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT4P1	True	True	False	False	False
CCT5	Chaperonin Containing TCP1 Subunit 5	Protein Coding	P48643	56	GC05P010249	0.430662721395493	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT5	True	True	True	False	False
CCT6A	Chaperonin Containing TCP1 Subunit 6A	Protein Coding	P40227	46	GC07P056051	1.63445663452148	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT6A	False	True	True	False	False
CCT7	Chaperonin Containing TCP1 Subunit 7	Protein Coding	Q99832	52	GC02P073233	0.393139481544495	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT7	False	True	True	False	False
CCT7P1	Chaperonin Containing TCP1 Subunit 7 Pseudogene 1	Pseudogene		11	GC06P183576	0.480546861886978	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT7P1	False	True	False	False	False
CCT8	Chaperonin Containing TCP1 Subunit 8	Protein Coding	P50990	51	GC21M029055	1.29198026657104	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT8	False	True	True	False	False
CCZ1	CCZ1 Homolog, Vacuolar Protein Trafficking And Biogenesis Associated	Protein Coding	P86791	42	GC07P005898	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCZ1	False	False	True	False	False
CD14	CD14 Molecule	Protein Coding	P08571	58	GC05M140631	1.52092230319977	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD14	False	False	True	False	False
CD151	CD151 Molecule (Raph Blood Group)	Protein Coding	P48509	55	GC11P020266	0.379151344299316	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD151	False	True	False	False	False
CD160	CD160 Molecule	Protein Coding	O95971	53	GC01P145719	2.79185962677002	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD160	False	True	False	False	False
CD163	CD163 Molecule	Protein Coding	Q86VB7	58	GC12M035717	3.9130117893219	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD163	False	True	True	False	False
CD19	CD19 Molecule	Protein Coding	P15391	64	GC16P120912	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD19	True	True	True	False	False
CD1A	CD1a Molecule	Protein Coding	P06126	52	GC01P176906	0.423054456710815	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD1A	False	False	False	False	True
CD1C	CD1c Molecule	Protein Coding	P29017	50	GC01P158289	0.90202397108078	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD1C	True	False	False	False	True
CD2-LCR	CD2 Locus Control Region	Functional Element		2	GC01P116769	0.164958119392395	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD2-LCR	False	False	False	False	True
CD200	CD200 Molecule	Protein Coding	P41217	54	GC03P112332	4.04171895980835	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD200	False	True	True	False	False
CD200R1	CD200 Receptor 1	Protein Coding	Q8TD46	51	GC03M112921	5.18985223770142	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD200R1	False	False	True	False	False
CD209	CD209 Molecule	Protein Coding	Q9NNX6	56	GC19M007739	0.379151344299316	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD209	True	True	False	False	True
CD226	CD226 Molecule	Protein Coding	Q15762	55	GC18M069831	0.90202397108078	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD226	True	False	False	False	False
CD24	CD24 Molecule	Protein Coding	P25063	47	GC06M106969	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD24	False	False	True	False	False
CD244	CD244 Molecule	Protein Coding	Q9BZW8	56	GC01M160830	0.764915585517883	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD244	False	False	True	False	False
CD247	CD247 Molecule	Protein Coding	P20963	62	GC01M167425	0.90202397108078	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD247	True	False	False	False	False
CD27	CD27 Molecule	Protein Coding	P26842	60	GC12P074035	0.854199051856995	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD27	True	True	False	False	False
CD274	CD274 Molecule	Protein Coding	Q9NZQ7	58	GC09P005450	0.352846503257751	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274	True	True	False	False	True
CD276	CD276 Molecule	Protein Coding	Q5ZPR3	55	GC15P073683	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD276	True	False	False	False	False
CD28	CD28 Molecule	Protein Coding	P10747	61	GC02P203706	0.90202397108078	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD28	True	False	False	False	False
CD2AP	CD2 Associated Protein	Protein Coding	Q9Y5K6	56	GC06P182098	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD2AP	False	True	True	False	False
CD2BP2	CD2 Cytoplasmic Tail Binding Protein 2	Protein Coding	O95400	43	GC16M030350	0.131633654236794	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD2BP2	False	True	False	False	False
CD300C	CD300c Molecule	Protein Coding	Q08708	48	GC17M098007	4.86814594268799	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD300C	False	False	True	False	False
CD300H	CD300H Molecule (Gene/Pseudogene)	Protein Coding	A0A0K2S4Q6	18	GC17M074557	1.10575127601624	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD300H	False	False	True	False	False
CD300LF	CD300 Molecule Like Family Member F	Protein Coding	Q8TDQ1	49	GC17M074694	2.79185962677002	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD300LF	False	True	False	False	False
CD33	CD33 Molecule	Protein Coding	P20138	58	GC19P152946	4.59110546112061	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD33	False	True	True	False	True
CD34	CD34 Molecule	Protein Coding	P28906	58	GC01M207880	3.08620047569275	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD34	True	True	True	False	True
CD36	CD36 Molecule (CD36 Blood Group)	Protein Coding	P16671	63	GC07P080369	4.64698696136475	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36	True	True	True	False	False
CD38	CD38 Molecule	Protein Coding	P28907	59	GC04P030063	4.58908700942993	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD38	False	True	False	False	True
CD3D	CD3 Delta Subunit Of T-Cell Receptor Complex	Protein Coding	P04234	59	GC11M140617	0.657264471054077	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD3D	True	True	False	False	False
CD4	CD4 Molecule	Protein Coding	P01730	63	GC12P006786	3.98583769798279	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD4	True	True	True	False	True
CD40	CD40 Molecule	Protein Coding	P25942	63	GC20P046118	3.08620047569275	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40	True	True	True	False	False
CD40LG	CD40 Ligand	Protein Coding	P29965	62	GC0XP136649	1.3240978717804	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG	True	True	True	False	True
CD44	CD44 Molecule (IN Blood Group)	Protein Coding	P16070	61	GC11P035139	3.08620047569275	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44	False	True	True	False	True
CD46	CD46 Molecule	Protein Coding	P15529	61	GC01P207752	2.85999822616577	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD46	False	True	False	False	False
CD47	CD47 Molecule	Protein Coding	Q08722	58	GC03M108043	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD47	False	True	True	False	True
CD5	CD5 Molecule	Protein Coding	P06127	55	GC11P107379	3.02121591567993	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD5	False	True	False	False	False
CD53	CD53 Molecule	Protein Coding	P19397	50	GC01P110871	2.79185962677002	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD53	False	True	False	False	False
CD55	CD55 Molecule (Cromer Blood Group)	Protein Coding	P08174	62	GC01P207321	3.55347943305969	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD55	False	True	False	False	False
CD59	CD59 Molecule (CD59 Blood Group)	Protein Coding	P13987	59	GC11M033737	7.31420087814331	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD59	True	True	False	False	False
CD63	CD63 Molecule	Protein Coding	P08962	56	GC12M060362	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD63	False	False	True	False	False
CD68	CD68 Molecule	Protein Coding	P34810	52	GC17P007579	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD68	True	True	True	False	False
CD69	CD69 Molecule	Protein Coding	Q07108	54	GC12M035789	0.609472632408142	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD69	True	True	False	False	False
CD74	CD74 Molecule	Protein Coding	P04233	58	GC05M150378	0.73432731628418	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD74	False	True	False	False	False
CD79A	CD79a Molecule	Protein Coding	P11912	61	GC19P041877	1.02754414081573	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79A	True	True	False	False	False
CD79B	CD79b Molecule	Protein Coding	P40259	59	GC17M063928	0.731003284454346	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79B	False	True	False	False	False
CD80	CD80 Molecule	Protein Coding	P33681	55	GC03M119524	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD80	True	False	True	False	False
CD81	CD81 Molecule	Protein Coding	P60033	59	GC11P020330	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD81	False	True	True	False	False
CD83	CD83 Molecule	Protein Coding	Q01151	53	GC06P014117	1.27565455436707	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD83	True	False	False	False	False
CD86	CD86 Molecule	Protein Coding	P42081	57	GC03P122055	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD86	True	True	True	False	False
CD8A	CD8 Subunit Alpha	Protein Coding	P01732	61	GC02M086784	3.9130117893219	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8A	True	True	True	False	True
CD8B	CD8 Subunit Beta	Protein Coding	P10966	54	GC02M086815	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8B	False	False	True	False	False
CD8B2	CD8B Family Member 2	Protein Coding	A6NJW9	30	GC02P106487	2.79185962677002	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8B2	False	True	False	False	False
CD9	CD9 Molecule	Protein Coding	P21926	57	GC12P074024	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD9	False	False	True	False	False
CD96	CD96 Molecule	Protein Coding	P40200	55	GC03P111292	7.03312826156616	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD96	True	True	False	False	False
CD99	CD99 Molecule (Xg Blood Group)	Protein Coding	P14209	51	GC0XP002691	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD99	False	False	True	False	False
CDAN1	Codanin 1	Protein Coding	Q8IWY9	50	GC15M042723	7.46701049804688	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDAN1	False	True	False	False	False
CDC123	Cell Division Cycle 123	Protein Coding	O75794	49	GC10P012195	0.584532201290131	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC123	False	True	False	False	False
CDC14C	Cell Division Cycle 14C	Protein Coding	A4D256	26	GC07P051094	1.21995079517365	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC14C	False	True	True	False	False
CDC16	Cell Division Cycle 16	Protein Coding	Q13042	52	GC13P114234	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC16	False	True	True	False	False
CDC20	Cell Division Cycle 20	Protein Coding	Q12834	58	GC01P043358	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC20	True	True	True	False	True
CDC20-DT	CDC20 Divergent Transcript	RNA Gene		13	GC01M043456	0.480546861886978	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC20-DT	True	True	False	False	False
CDC23	Cell Division Cycle 23	Protein Coding	Q9UJX2	47	GC05M138254	0.584532201290131	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC23	False	True	False	False	False
CDC25C	Cell Division Cycle 25C	Protein Coding	P30307	61	GC05M138285	0.0930790454149246	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC25C	False	True	False	False	False
CDC26P1	Cell Division Cycle 26 Pseudogene 1	Pseudogene		11	GC07M129409	0.573625922203064	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC26P1	True	True	False	False	False
CDC27	Cell Division Cycle 27	Protein Coding	P30260	54	GC17M047117	0.131633654236794	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC27	False	True	False	False	False
CDC34	Cell Division Cycle 34, Ubiquitin Conjugating Enzyme	Protein Coding	P49427	55	GC19P151341	0.304524540901184	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC34	False	False	True	False	False
CDC37	Cell Division Cycle 37, HSP90 Cochaperone	Protein Coding	Q16543	55	GC19M010391	5.36970186233521	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC37	False	True	True	False	False
CDC37P1	Cell Division Cycle 37 Pseudogene 1	Pseudogene		12	GC16M050873	0.480546861886978	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC37P1	True	True	False	False	False
CDC40	Cell Division Cycle 40	Protein Coding	O60508	50	GC06P110180	0.0930790454149246	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC40	False	True	False	False	False
CDC42	Cell Division Cycle 42	Protein Coding	P60953	63	GC01P022052	4.80763101577759	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42	True	True	True	False	True
CDC42BPA	CDC42 Binding Protein Kinase Alpha	Protein Coding	Q5VT25	50	GC01M226989	0.0930790454149246	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42BPA	False	True	False	False	False
CDC42BPB	CDC42 Binding Protein Kinase Beta	Protein Coding	Q9Y5S2	55	GC14M102932	14.0109920501709	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42BPB	True	True	False	False	False
CDC42EP2	CDC42 Effector Protein 2	Protein Coding	O14613	46	GC11P107806	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42EP2	False	False	True	False	False
CDC42EP3	CDC42 Effector Protein 3	Protein Coding	Q9UKI2	48	GC02M037641	0.304524540901184	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42EP3	False	True	True	False	False
CDC42EP3-AS1	CDC42EP3 Antisense RNA 1	RNA Gene		14	GC02P037427	0.480546861886978	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42EP3-AS1	False	True	False	False	False
CDC42SE1	CDC42 Small Effector 1	Protein Coding	Q9NRR8	44	GC01M151050	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42SE1	False	False	True	False	False
CDC42SE2	CDC42 Small Effector 2	Protein Coding	Q9NRR3	45	GC05P131212	0.423054456710815	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42SE2	False	False	False	False	True
CDC45	Cell Division Cycle 45	Protein Coding	O75419	59	GC22P019479	8.6682014465332	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC45	True	True	False	False	False
CDC5L	Cell Division Cycle 5 Like	Protein Coding	Q99459	52	GC06P044387	1.07545459270477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC5L	False	True	True	False	False
CDC6	Cell Division Cycle 6	Protein Coding	Q99741	59	GC17P040287	7.03312826156616	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC6	False	True	False	False	False
CDC73	Cell Division Cycle 73	Protein Coding	Q6P1J9	58	GC01P193121	0.186158090829849	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC73	False	True	False	False	False
CDCA5	Cell Division Cycle Associated 5	Protein Coding	Q96FF9	48	GC11M139753	0.657264471054077	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDCA5	True	True	False	False	False
CDCA7	Cell Division Cycle Associated 7	Protein Coding	Q9BWT1	52	GC02P173354	7.03312826156616	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDCA7	True	True	False	False	False
CDCA7L	Cell Division Cycle Associated 7 Like	Protein Coding	Q96GN5	50	GC07M021900	1.21995079517365	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDCA7L	False	True	True	False	False
CDCP2	CUB Domain Containing Protein 2	Protein Coding	Q5VXM1	40	GC01M054133	0.984545171260834	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDCP2	False	False	True	False	False
CDH1	Cadherin 1	Protein Coding	P12830	62	GC16P068737	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1	True	True	True	False	False
CDH10	Cadherin 10	Protein Coding	Q9Y6N8	52	GC05M024522	10.818058013916	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH10	True	True	False	False	False
CDH11	Cadherin 11	Protein Coding	P55287	59	GC16M064943	8.16953754425049	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH11	True	True	False	False	False
CDH12	Cadherin 12	Protein Coding	P55289	51	GC05M021750	2.05753231048584	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH12	False	True	False	False	False
CDH13	Cadherin 13	Protein Coding	P55290	57	GC16P082626	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH13	True	True	True	False	True
CDH15	Cadherin 15	Protein Coding	P55291	59	GC16P089171	8.58437252044678	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH15	True	True	False	False	False
CDH17	Cadherin 17	Protein Coding	Q12864	56	GC08M094127	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH17	True	True	True	False	False
CDH18	Cadherin 18	Protein Coding	Q13634	49	GC05M019976	2.49718379974365	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH18	True	True	False	False	False
CDH19	Cadherin 19	Protein Coding	Q9H159	48	GC18M066501	2.45502948760986	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH19	True	True	False	False	False
